,0,1,2
0,False,10.1,90.16676
1,False,13.0,92.86006
2,False,12.4,67.26004
3,False,6.4,91.93233
5,False,5.8,31.13232
7,False,7.8,60.84004
8,False,7.0,54.26004
9,False,8.6,58.09823
10,False,46.1,179.44012
11,False,7.9,61.48475
12,False,8.2,203.11482
14,False,7.5,83.20826
15,False,12.1,100.74952
16,False,7.3,68.96005
17,False,8.2,50.36414
18,False,9.5,92.80386
19,False,9.6,45.69248
20,False,7.6,53.14999
21,True,5.5,282.34892
22,False,8.0,81.18225
23,False,3.0,42.00003
24,False,4.7,55.92856
25,False,5.0,57.19194
27,False,6.0,42.40003
28,False,8.4,76.2443
29,False,6.5,50.03563
30,False,4.2,63.64004
31,False,7.2,115.41851
32,False,13.8,330.89752
33,False,7.9,89.56704
34,False,7.1,58.90904
37,False,9.2,128.04009
38,False,8.2,56.09589
39,False,6.9,30.79907
40,True,10.3,33.94002
41,False,4.7,241.13633
42,False,7.8,82.20005
43,False,7.9,108.06477
44,False,9.0,89.71707
45,False,7.8,72.66124
48,False,7.5,121.63598
49,False,7.6,42.90148
50,False,6.1,85.74036
51,False,10.2,88.80389
52,False,8.1,73.90085
53,False,8.1,30.27927
54,False,7.9,33.92877
55,False,7.3,49.34333
56,False,7.0,38.06403
57,False,8.2,67.03898
58,False,9.0,115.45394
59,False,8.6,41.63682
60,False,8.7,96.16457
61,False,4.3,38.53228
62,False,8.3,77.40005
63,False,11.3,41.00003
64,False,10.0,79.09402
65,False,7.8,68.8302
66,False,8.2,50.9828
67,False,4.3,56.87344
68,False,7.7,54.13809
70,False,8.6,69.5159
71,True,4.5,402.47099
72,False,7.0,64.78769
73,False,7.1,61.41014
75,False,6.8,38.46403
76,False,7.9,52.31034
77,False,7.7,36.99845
78,False,7.3,70.65345
79,False,6.6,97.43523
80,False,2.6,55.51284
81,False,9.0,33.43421
82,False,13.3,212.40056
84,False,8.3,94.81971
86,False,3.6,152.4601
87,False,7.0,143.8515
88,False,10.3,162.55631
89,False,7.5,106.40497
90,False,8.1,64.78004
91,False,7.5,67.31134
92,False,8.1,32.70104
95,False,7.6,44.98497
96,False,13.1,227.50959
99,False,9.5,42.14934
100,False,7.3,66.68004
101,False,6.2,81.34395
102,False,8.2,111.49911
