,0,1,2
0,False,7.6,159.758862548
1,False,8.5,101.287690037
2,False,3.8,109.635134519
3,False,6.9,100.880587028
4,False,5.7,107.595129031
5,True,18.6,258.428687582
6,False,7.8,56.2013845181
7,False,4.9,86.2490850308
8,False,5.2,56.223463524
9,True,8.5,137.964811053
10,False,4.9,56.3455820062
11,False,7.3,88.8938865324
13,False,7.5,55.5281830295
15,False,9.3,163.706231516
16,True,11.4,387.798593651
18,True,18.5,1071.11026686
19,False,3.5,77.5290010211
20,True,4.9,135.44039705
23,False,8.7,121.591028049
24,False,5.4,116.546744532
25,False,7.1,144.990942539
30,False,5.0,80.6201960171
31,False,13.2,1456.17016042
32,False,7.7,87.1172870173
33,True,8.6,167.322948562
35,False,8.7,123.926200024
36,False,8.0,87.1278155152
37,True,7.9,53.6538665136
38,False,3.8,15.7629614996
39,False,5.7,141.498724542
40,False,6.5,140.415469047
41,False,10.9,138.884816555
42,True,8.3,130.293261059
43,False,7.2,90.2240300264
44,False,5.9,143.203371515
46,False,8.7,150.160027544
47,True,7.4,48.7599515102
48,False,4.4,20.8480980089
49,False,9.3,69.4993690134
50,False,6.4,163.929077058
51,False,7.9,123.130387537
52,True,6.7,66.2853035116
53,False,8.2,117.393034025
54,True,7.0,136.829363524
55,False,8.5,90.8279000429
56,True,19.6,517.051923164
57,False,5.4,102.245940043
59,False,7.8,58.3308835182
60,True,17.0,364.282521187
61,False,5.1,183.166113564
62,False,9.8,109.833404051
63,False,4.5,107.755025029
64,False,10.6,146.842885534
65,False,8.0,278.135317089
66,False,10.3,124.779716558
67,False,9.5,94.935226755
68,True,14.8,175.902914052
69,True,4.7,189.628651543
71,False,7.6,49.0945610209
72,False,5.7,70.8212790223
74,True,3.5,69.9363490331
75,True,7.4,73.8572470138
77,False,5.4,85.3936980286
78,True,3.8,81.4412750295
80,False,12.7,76.700499017
81,True,15.0,296.662215605
82,False,10.2,57.04708906
85,True,6.8,480.588027102
86,False,9.6,118.92978803
87,False,8.5,155.078294545
88,False,3.7,45.3551270214
90,False,8.3,102.007493511
92,False,7.5,105.809985545
93,False,12.7,674.330379689
94,True,3.4,60.3027930265
95,True,3.0,49.135753021
96,False,7.7,114.274438531
97,False,5.1,65.6931505181
98,False,8.9,674.330379689
99,True,8.4,89.5561640332
100,False,4.5,120.97025453
101,False,3.2,16.5776860065
102,False,5.5,55.6061120178
103,True,8.0,68.7060380253
104,True,4.0,55.078974172
105,False,7.5,45.9041535071
107,False,7.5,21.1032800012
108,False,4.7,95.2800680264
111,True,11.8,81.9844395211
112,False,4.5,44.8885095203
113,False,10.7,125.878614543
114,False,8.6,86.4670470093
115,False,8.9,99.49322203
117,False,5.7,111.133190051
118,True,5.4,100.278191014
121,False,5.0,73.6181270114
122,False,3.8,105.092287532
123,False,2.3,58.0168865238
124,False,8.2,100.158308049
125,False,8.3,180.612056583
126,False,8.3,137.205399546
127,False,5.0,100.073095549
128,False,7.8,20.9711160012
129,False,3.5,29.0086125193
130,True,7.8,57.3235115084
132,False,6.4,88.947457027
133,False,8.4,119.414478527
134,True,3.3,85.5949940118
135,False,4.2,36.8510960034
136,False,4.1,37.8918714953
137,False,5.2,81.9760445349
139,False,10.5,216.417168074
140,False,8.3,71.7924670261
141,False,7.3,179.379596044
142,False,8.2,168.339805064
143,True,8.0,54.46891202
144,False,4.9,121.829391537
145,False,2.9,93.6014465222
146,False,3.2,31.65667802
147,True,8.4,131.394535024
149,True,8.0,120.895437025
150,False,6.4,67.9927415218
151,False,8.3,98.0327945039
152,False,8.1,101.026842026
154,False,9.5,232.740199102
155,True,10.6,1167.37801579
156,True,4.2,67.2233045284
157,False,3.2,16.4616595128
158,False,6.4,53.0882765125
159,True,7.1,287.226791104
160,False,6.7,41.4224210125
161,False,7.9,64.275924014
163,False,8.8,105.485382028
164,True,25.7,531.621586678
165,False,7.6,73.8392945176
166,False,7.9,87.6918625172
167,False,8.0,124.405084029
168,True,7.9,147.486628179
169,False,9.2,173.845438584
173,False,8.2,112.009061538
174,True,4.3,76.825992508
175,False,11.1,101.886372521
176,True,8.6,80.2074625311
177,False,7.9,56.883927519
178,False,3.8,21.2936870142
179,False,9.6,100.409512033
180,False,2.8,33.0607705187
181,False,4.0,203.578383583
182,False,7.9,95.3023535354
183,False,7.4,36.1081605153
184,False,8.2,120.104188036
185,False,8.7,146.149877536
186,False,4.8,66.1138860093
187,True,7.9,67.2652665142
188,False,4.6,35.6426240117
190,True,4.6,139.584759041
191,False,9.8,113.633045534
193,True,4.3,53.3909455064
194,False,2.7,16.898553008
196,False,5.4,92.7529250258
197,False,3.5,40.424275013
198,False,3.6,101.100861515
199,False,8.6,171.213905568
201,False,3.9,74.8638025209
202,True,5.6,257.109459041
203,False,6.6,76.0098150043
204,True,10.3,71.0155560168
206,False,9.1,91.6647985235
207,False,7.6,57.4361030121
208,False,7.1,99.0847345238
209,False,7.7,117.70818653
210,False,7.2,68.8218610257
213,False,1.8,20.6565470219
214,False,4.0,43.5874270129
215,False,4.8,27.8075960013
216,False,4.5,120.616343543
218,False,8.0,101.828064004
219,False,6.8,33.4077455039
220,True,31.4,269.345868596
222,False,6.6,114.144829533
223,True,8.6,73.5060570208
224,False,8.0,145.321398547
227,False,8.6,82.8093985305
228,False,5.1,102.692828902
230,False,7.0,88.6821210211
231,False,7.1,85.96782602
232,False,4.2,76.5795010209
234,False,10.2,98.4301245281
235,False,7.8,92.5201768363
238,False,8.0,118.576491025
240,False,5.4,96.1826910333
241,False,5.1,102.568445028
242,False,8.9,111.301114525
243,False,5.0,20.8782480004
244,False,7.1,87.4439835136
245,False,7.7,72.7885250224
246,False,4.9,91.0682690285
247,False,3.4,26.9267710019
248,False,4.0,17.476798498
250,False,6.5,93.5640565127
251,True,8.3,89.2991860228
252,False,13.3,48.3893400284
253,False,6.8,61.5420010202
254,False,8.1,104.299286038
255,False,8.6,122.490951528
256,True,2.8,43.6695475148
258,False,3.7,22.9890339972
259,True,4.9,206.844120536
261,False,8.2,99.510325014
