,0,1,2
0,False,3.5,179.24
1,False,3.3,13.7
2,False,8.0,74.7
3,False,5.5,61.12
4,True,7.1,124.36
5,False,39.1,355.27
6,True,30.5,144.46
7,True,49.9,614.51
8,True,38.2,414.32
9,True,40.7,722.65
10,True,42.1,1162.01
11,False,6.6,89.4
12,True,17.9,922.62
13,True,16.2,120.69
14,True,9.6,58.39
15,False,6.3,159.57
16,False,3.7,12.17
17,True,33.9,300.09
18,True,24.1,181.53
19,True,14.0,80.34
21,False,12.7,71.17
22,False,5.8,48.43
23,True,46.6,975.34
24,False,15.2,2673.85
25,False,15.3,93.59
26,True,35.8,247.92
27,False,11.8,125.9
28,False,9.0,69.56
29,True,78.5,1714.26
30,True,32.6,198.92
31,False,7.1,50.28
32,False,2.9,28.88
33,True,37.5,280.47
34,True,14.1,123.76
35,False,7.8,76.95
36,False,8.5,58.62
37,False,6.7,47.6
38,False,8.0,220.09
39,False,9.1,38.81
40,True,47.9,353.36
41,True,22.6,135.24
42,False,10.5,97.58
43,False,18.7,233.08
44,True,17.7,63.98
45,False,7.8,56.16
46,False,7.6,60.11
47,True,21.4,231.59
48,False,2.5,28.66
49,False,46.4,433.04
50,False,12.7,65.41
51,True,12.5,424.89
52,True,12.6,136.68
53,False,5.0,13.15
54,False,13.4,3934.9
55,True,24.4,127.26
56,False,78.9,1898.87
57,True,52.1,1577.64
58,True,10.8,187.84
59,False,7.0,109.37
60,True,19.7,101.4
61,False,4.5,32.33
63,False,7.6,107.81
64,False,7.4,93.25
65,False,3.7,17.45
66,False,7.9,81.23
67,False,6.7,26.7
68,False,19.8,361.7
69,True,8.3,100.73
70,False,8.5,165.04
71,False,15.0,210.74
72,False,3.1,182.22
73,False,7.9,62.01
74,False,8.3,110.56
75,False,30.7,244.19
76,False,10.5,88.98
77,False,41.2,400.64
78,False,12.1,89.14
79,True,14.5,92.91
80,True,16.4,127.2
81,False,4.0,160.28
82,True,7.2,57.57
83,True,14.8,139.04
84,False,7.8,231.04
85,False,6.7,61.46
86,True,5.7,135.2
87,False,8.6,99.92
88,False,6.6,45.46
89,False,38.3,228.34
90,True,29.5,215.73
91,False,7.5,84.13
92,False,8.5,55.99
93,False,6.2,25.37
94,False,31.6,152.61
95,False,6.9,113.93
96,True,12.7,80.74
97,True,20.5,131.15
98,True,11.8,44.66
99,False,7.4,73.94
100,True,36.4,712.65
101,False,3.4,67.71
102,True,14.1,49.06
103,False,9.0,324.5
104,True,7.3,133.3
105,True,37.8,312.7
106,False,9.8,84.16
107,False,12.3,236.91
108,True,39.1,288.28
109,False,3.7,22.31
110,False,2.5,100.88
112,False,38.0,608.1
113,False,31.1,108.99
114,False,9.1,96.11
115,True,37.2,414.15
116,False,12.7,89.16
117,False,7.0,77.66
118,False,7.3,50.29
119,True,15.1,71.02
120,False,23.1,150.28
121,False,7.0,41.94
122,True,42.4,148.23
123,True,17.1,226.22
125,True,38.1,336.42
126,False,5.9,79.82
127,False,9.3,107.02
128,False,11.7,108.71
129,True,34.3,473.2
130,False,14.0,116.43
131,True,19.9,97.96
132,True,30.8,88.82
133,False,12.6,70.83
134,True,36.1,230.96
135,False,12.3,56.17
136,True,43.8,677.52
137,False,14.8,98.5
