,0,1,2
0,False,4.6,692.127
1,False,4.2,95.284
2,False,6.9,49.806
6,False,7.6,61.709
7,False,9.9,43.377
8,False,6.8,55.423
9,False,6.4,44.701
10,False,3.9,71.578
11,False,8.3,76.515
12,False,8.1,82.307
13,False,8.7,68.781
15,False,6.7,49.17
16,False,7.9,87.543
17,False,19.7,540.374
18,False,26.1,278.462
19,False,7.9,73.041
20,False,8.2,56.162
21,True,3.9,1082.942
22,False,6.7,47.982
23,False,13.2,40.963
24,False,6.6,37.346
25,False,8.0,192.146
26,False,6.9,52.905
28,False,6.9,35.665
29,False,5.8,73.601
30,False,10.6,50.411
32,False,7.0,42.191
33,False,4.8,83.646
34,False,8.3,191.664
35,False,6.9,35.962
36,False,6.1,105.968
37,False,7.3,94.119
38,False,7.0,36.817
39,False,7.9,126.857
41,False,10.1,645.483
42,False,7.7,99.924
43,False,8.5,53.184
45,True,3.7,50.353
46,False,8.1,65.175
47,False,6.9,57.535
48,False,8.8,45.635
50,False,9.4,51.592
51,False,6.2,99.374
52,False,11.7,2166.613
53,False,3.7,28.512
54,False,9.8,51.084
55,False,7.1,47.806
56,False,11.9,290.58
57,False,7.6,91.345
58,False,3.5,84.237
59,False,9.3,59.341
60,False,10.4,14453.638
61,False,8.8,72.349
63,False,3.2,62.233
64,False,7.9,130.646
66,False,3.7,180.018
67,False,7.9,55.326
68,False,8.2,52.501
69,False,7.7,118.883
70,False,6.5,85.852
72,False,8.9,64.207
73,False,10.3,209.257
75,False,7.1,1522.993
77,False,8.1,74.437
78,False,8.2,90.555
80,False,13.2,133.097
82,False,7.1,35.226
84,False,5.5,41.185
85,False,7.2,52.485
87,False,9.6,40.851
88,False,8.9,50.013
89,False,6.9,51.121
90,False,6.7,126.61
91,False,9.5,32.626
92,False,9.9,92.951
93,False,3.8,38.299
94,False,7.8,44.222
95,False,7.8,2690.864
96,False,8.4,56.267
98,False,6.9,78.775
99,False,7.4,91.317
100,False,9.6,64.756
102,False,4.4,47.257
103,False,4.9,87.962
104,False,3.3,18.256
105,False,9.1,76.427
106,False,7.6,134.922
