,0,1,2
0,False,8.4,34.3295999979
1,True,15.7,58.1234499985
2,True,35.2,622.148999986
3,True,37.1,566.009550023
4,False,3.5,847.149699982
5,False,6.9,86.7397000096
7,True,16.2,617.605800031
9,False,41.5,97.4972999948
11,True,10.7,79.9050000007
12,True,9.1,64.6153999977
13,False,3.9,29.3053999998
14,True,32.5,280.948899989
15,True,33.0,879.976650042
16,False,12.1,624.217100023
17,True,37.6,443.080499986
18,False,2.5,43.8624999962
19,False,6.5,26.7945499939
22,True,29.2,173.278399985
23,False,33.4,239.898500011
24,False,6.4,142.924199991
25,True,25.2,288.032050002
27,True,16.3,51.9246999984
28,False,13.4,175.758100002
30,True,13.7,141.922799994
31,False,7.3,98.7016999963
32,False,8.8,69.2777000035
34,True,22.9,172.92484999
37,False,3.4,26.960649998
38,False,15.9,430.740400013
39,False,7.3,173.494449996
40,True,42.6,117.696950001
41,True,8.5,121.414200014
44,False,42.2,300.007249994
46,True,30.2,264.625499982
47,True,32.7,363.161050009
48,True,55.3,649.253800001
49,False,7.8,27.4843499955
50,False,2.0,24.0203999985
53,False,10.5,106.746549996
54,False,9.2,126.270100008
55,False,11.4,0.0
58,False,6.0,55.5967999917
59,False,6.9,152.270300005
60,False,38.0,291.81294999
62,False,7.4,44.7120000007
63,True,85.6,1306.48179998
65,True,18.7,198.979800012
66,False,6.4,24.5862999996
67,True,35.3,302.815650013
68,False,7.8,17.2230000048
70,True,14.3,61.05710001
71,False,2.0,16.6523000045
72,True,19.4,243.537299992
73,True,14.0,63.5169000109
75,False,30.7,96.3807999949
77,True,15.1,93.9823499935
78,True,26.4,711.525750009
79,False,12.3,100.585250008
80,True,32.0,472.202250024
81,False,8.3,937.389599989
82,True,9.9,81.9152
83,True,8.9,64.5515500066
84,False,2.4,6.10799999914
85,True,10.1,129.42539999
88,True,4.2,39.9751499973
89,False,31.8,149.848499993
90,False,20.2,207.671750007
91,False,1.7,12.6509999959
96,False,5.6,194.590500007
97,False,21.8,68.0325999975
98,True,31.5,342.782099976
99,False,18.0,342.837300019
100,False,6.3,55.0714999945
104,True,8.0,162.782000001
105,True,14.3,265.398249999
106,True,20.7,215.598999985
111,True,12.2,765.078500041
