,0,1,2
0,False,13.6,58.7483
1,False,7.8,112.1697
3,False,22.7,179.83392
4,False,18.3,104.2519
5,False,22.1,187.57525
6,False,30.8,270.368
7,False,32.0,90.0647
8,False,12.1,170.9561
9,False,15.9,87.84763
10,False,31.3,487.87655
11,False,34.0,106.7322
12,False,20.3,100.891
13,False,26.9,207.8188
14,False,33.9,300.8955
15,False,23.6,144.0321
16,False,30.0,292.6868
17,False,11.1,52.4835
18,False,6.0,23.6455
19,False,37.5,210.10475
20,False,6.9,29.13
21,False,27.5,199.4686
22,False,5.0,43.64635
23,False,18.3,90.4411
24,False,30.3,116.27515
25,False,28.1,93.7558
26,False,37.6,592.10432
27,False,42.7,432.3346
28,False,19.1,41.53015
29,False,35.1,122.48025
30,False,25.2,266.185
32,False,13.8,149.9361
33,False,21.1,160.7843
34,False,3.3,9.97125
35,False,28.8,103.048
36,False,35.1,165.21688
37,False,9.0,69.3381
38,False,37.3,115.38995
39,False,30.2,110.42545
40,False,17.0,105.361
41,False,11.8,111.97705
43,False,25.7,35.74148
44,False,23.5,164.37595
45,False,22.3,40.99885
47,False,12.1,85.47294
48,False,7.2,44.64905
49,False,11.2,107.9019
50,False,29.8,84.11575
51,False,8.4,27.4247
52,False,38.5,422.29615
53,False,6.8,58.7117
54,False,12.1,167.1709
55,False,14.4,79.05415
56,False,13.7,64.62435
57,False,15.9,51.8511
58,False,31.9,94.17265
59,False,20.6,85.8555
60,False,19.2,86.54925
62,False,31.6,30.2631
63,False,14.7,50.0475
65,False,52.1,618.86065
66,False,15.8,47.40444
67,False,15.0,76.9702
68,False,6.4,18.40625
69,False,29.4,200.35335
70,False,13.7,79.91045
71,False,5.7,19.6384
73,False,33.1,96.27015
74,False,12.7,66.34835
75,False,11.4,105.0777
76,False,22.8,125.70015
77,False,30.3,373.04625
78,False,25.2,36.38885
80,False,13.1,83.6933
81,False,6.1,34.3374
82,False,17.6,122.8992
83,False,20.6,110.2068
84,False,21.5,200.5481
86,False,12.7,220.9802
87,False,31.5,130.4076
88,False,17.5,90.0761
89,False,20.8,170.14375
91,False,30.9,60.1729
92,False,19.1,227.1377
93,False,9.6,101.96385
94,False,11.7,88.1455
95,False,14.6,55.93875
96,False,15.1,112.60215
97,False,22.7,73.4044
98,False,14.1,52.94335
99,False,6.7,65.89425
100,False,29.6,203.40104
