,0,1,2
0,False,38.6,307.0785
1,False,28.6,143.73833
2,False,7.5,24.60211
3,False,37.9,222.3588
4,False,15.1,41.58238
5,False,20.0,123.56368
6,False,43.6,1245.97304
7,False,11.2,53.6777
9,False,32.9,166.11155
10,False,13.7,94.32862
12,False,29.4,201.97176
13,False,5.7,9.60392
14,False,7.1,31.29706
15,False,20.8,122.94897
16,False,47.2,224.19237
17,False,43.9,225.68394
18,False,13.2,63.29002
19,False,15.6,47.47804
20,False,12.9,93.52063
21,False,13.4,43.61498
22,False,12.6,57.9299
23,False,7.5,16.29798
24,False,11.2,50.79395
25,False,38.4,176.40759
26,False,28.5,63.10313
27,False,27.9,128.39455
28,False,10.3,40.36563
30,False,21.6,63.61623
31,False,5.7,17.05003
32,False,10.3,33.04756
33,False,25.0,64.02652
34,False,36.1,67.78138
35,False,17.9,99.66084
36,False,33.3,502.27891
37,False,13.9,63.16052
38,False,49.3,290.80571
39,False,115.9,3512.4033
40,False,6.5,143.23723
41,False,30.4,91.98971
42,False,3.0,8.83632
43,False,21.6,88.53717
44,False,13.0,35.08678
46,False,25.9,128.32785
47,False,39.3,97.36784
48,False,30.1,187.10611
49,False,38.8,322.06363
50,False,5.1,16.22743
51,False,7.9,27.98125
52,False,22.8,128.07854
53,False,47.8,604.48395
54,False,8.9,69.62748
55,False,20.0,60.70096
56,False,17.6,57.60231
57,False,18.9,87.89017
58,False,51.5,466.60416
59,False,12.2,125.1039
60,False,20.4,166.56207
61,False,40.3,87.53062
62,False,8.6,17.82013
63,False,45.8,106.2316
64,False,13.3,44.98088
65,False,20.5,273.55801
66,False,21.0,187.45021
68,False,36.3,191.2862
69,False,31.2,150.08383
70,False,6.8,103.34148
71,False,17.7,2151.55645
72,False,7.3,9.64604
73,False,30.3,324.4199
74,False,18.8,157.58199
75,False,7.7,18.29964
76,False,13.6,51.917
77,False,36.8,501.01798
78,False,20.7,179.91373
79,False,9.6,56.53031
80,False,19.0,83.0262
81,False,16.6,129.39175
82,False,12.0,31.51796
83,False,13.9,56.46426
84,False,12.3,83.66465
85,False,10.9,43.28208
87,False,17.0,85.21626
89,False,12.4,50.6166
90,False,31.1,281.58365
91,False,13.5,90.95967
92,False,41.4,424.97745
93,False,7.7,17.05568
94,False,49.2,866.75373
95,False,7.6,27.0365
96,False,38.8,189.87045
97,False,8.5,47.67369
98,False,8.1,10.22382
99,False,31.8,355.28261
100,False,8.7,15.07653
101,False,59.1,1376.03605
103,False,37.6,164.47363
104,False,6.5,13.59383
105,False,39.4,67.24563
106,False,24.8,153.83603
107,False,24.0,142.07276
108,False,20.5,22.00669
109,False,3.0,33.32046
110,False,11.3,411.18157
111,False,16.7,135.51036
112,False,16.8,52.4527
113,False,12.3,18.31213
114,False,30.7,365.695
115,False,15.4,133.37749
116,False,22.4,156.35543
117,False,39.8,311.61737
118,False,43.4,293.0981
119,False,14.2,47.35048
121,False,14.0,53.0467
123,False,38.0,181.13315
124,False,8.1,16.58913
125,False,41.5,503.69222
126,False,8.4,11.05532
127,False,31.8,118.34692
128,False,24.6,531.90902
129,False,12.5,48.01424
130,False,13.4,185.60891
131,False,35.9,316.89816
132,False,47.3,228.22439
133,False,21.8,196.89848
134,False,18.3,56.80691
135,False,29.8,102.37289
136,False,10.9,181.27109
137,False,35.3,209.77213
138,False,25.4,110.06416
139,False,31.5,365.93375
140,False,39.4,76.75601
141,False,44.9,460.71668
142,False,29.6,188.16537
143,False,12.9,59.77701
144,False,15.4,16.97992
145,False,34.4,452.0607
146,False,38.2,79.05275
147,False,16.2,98.97339
148,False,9.9,73.39708
149,False,14.4,153.45828
150,False,32.3,192.0051
151,False,42.3,449.49211
152,False,32.1,87.18722
153,False,20.2,136.77977
154,False,3.5,13.46133
155,False,8.3,11.49462
156,False,42.8,221.03916
157,False,12.8,28.72391
158,False,26.5,62.46151
159,False,35.3,68.01124
160,False,39.2,290.58466
161,False,17.5,154.57859
162,False,11.7,77.30005
163,False,32.9,450.32854
164,False,16.3,28.80855
165,False,45.6,166.75229
166,False,10.5,38.51197
167,False,6.4,12.91186
168,False,11.5,68.69683
169,False,31.3,415.01786
170,False,7.9,40.62528
171,False,24.0,162.7945
172,False,11.6,57.51026
173,False,49.4,70.37284
174,False,7.8,73.12438
175,False,31.1,174.87748
176,False,5.1,5.26021
179,False,29.8,369.99058
180,False,21.8,76.74504
182,False,7.3,59.76197
183,False,23.0,256.52321
184,False,17.6,28.8291
185,False,48.5,1240.14542
186,False,26.0,493.93749
187,False,19.4,103.04819
188,False,24.4,170.40231
189,False,20.5,639.42974
190,False,43.6,698.01917
191,False,7.3,29.89496
192,False,3.0,12.99951
193,False,23.0,220.31451
194,False,20.0,304.52833
195,False,12.6,61.97562
196,False,6.1,10.36112
197,False,16.5,184.69635
198,False,36.0,138.85083
201,False,7.9,54.42798
202,False,14.1,204.00602
203,False,23.3,74.86439
204,False,27.6,95.87339
205,False,27.5,114.7158
206,False,18.2,218.87477
207,False,40.4,582.458
208,False,12.2,55.19195
209,False,35.0,230.16464
210,False,14.8,73.73675
211,False,7.5,9.19697
212,False,8.8,25.40045
213,False,30.8,85.99745
215,False,22.1,280.78471
216,False,21.7,103.2897
217,False,44.0,296.38663
218,False,8.1,45.56968
219,False,9.3,798.64415
220,False,8.0,46.39689
221,False,44.4,125.15048
222,False,16.5,140.60881
223,False,30.3,185.79491
224,False,25.2,54.1631
225,False,31.1,765.27073
226,False,16.2,71.17788
227,False,18.2,62.03732
228,False,33.0,221.93981
229,False,11.5,78.1349
230,False,25.6,75.71108
231,False,26.2,180.88943
232,False,21.5,59.40081
233,False,41.5,713.27861
234,False,20.6,123.67493
235,False,12.6,63.69827
236,False,15.9,61.23731
238,False,13.4,45.07169
239,False,7.7,20.17821
240,False,40.1,375.95799
241,False,22.0,119.60292
242,False,17.0,51.48305
243,False,26.6,195.88736
244,False,4.7,174.12562
245,False,31.7,145.39781
246,False,12.1,84.49456
247,False,22.7,138.77357
249,False,30.0,326.87629
250,False,12.2,34.05891
251,False,23.7,83.54135
252,False,25.7,42.78888
253,False,38.9,246.33948
254,False,37.8,133.76089
255,False,45.4,972.19553
256,False,44.0,571.58996
257,False,25.3,113.0052
259,False,32.5,402.31427
260,False,19.1,81.75275
261,False,22.3,143.57063
262,False,34.6,464.50812
264,False,29.1,311.05964
265,False,15.0,43.93029
266,False,15.8,81.00657
267,False,5.3,84.6267
268,False,21.3,112.65692
270,False,34.4,616.03374
271,False,33.3,265.9826
272,False,17.1,28.2019
273,False,27.9,73.75634
274,False,12.5,44.00148
275,False,12.7,79.55018
276,False,7.5,44.54449
