,0,1,2
0,False,14.1,200.68985
1,False,36.3,102.05925
2,False,9.4,38.19285
3,False,101.0,1055.46454
4,False,20.3,91.3747
5,False,13.4,32.1804
6,False,6.7,25.563
7,False,7.7,42.267
9,False,19.0,52.4895
10,False,50.7,1700.2112
11,False,41.8,231.38515
12,False,25.1,128.0512
13,False,43.6,3547.9274
14,False,25.6,117.6871
15,False,23.9,226.92732
16,False,22.1,69.546
17,False,13.8,21.2467
18,False,57.8,1565.89598
19,False,39.2,136.64255
20,False,12.6,31.6889
21,False,19.6,36.927
23,False,48.9,828.0989
24,False,45.9,1911.6637
25,False,42.4,189.63796
26,False,8.6,64.248
27,False,170.6,4486.51633
28,False,5.9,5.51745
29,False,32.3,169.99535
30,False,20.4,98.6754
31,False,30.7,303.33555
32,False,27.4,83.3089
33,False,43.9,695.58
34,False,9.3,34.66135
35,False,38.1,69.9053
36,False,8.8,63.302
37,False,12.5,41.6584
38,False,24.3,117.69545
39,False,28.3,172.74343
40,False,76.6,1084.79565
41,False,44.5,164.26553
42,False,26.8,71.7906
43,False,6.9,51.8774
44,False,27.3,133.95175
45,False,34.6,48.3217
46,False,11.5,14.8507
47,False,8.0,76.70338
48,False,15.0,112.6517
49,False,18.9,107.86435
50,False,73.4,4048.1237
51,False,19.1,99.561
52,False,34.5,201.2381
53,False,41.5,33.06377
55,False,24.1,113.5797
56,False,126.5,5650.3335
57,False,30.7,80.02265
58,False,66.1,1183.71445
59,False,20.8,89.426
60,False,10.7,26.44227
61,False,68.8,1158.35398
63,False,18.4,37.78735
64,False,31.9,268.30689
65,False,8.6,52.16845
67,False,42.9,399.45105
68,False,17.4,52.7682
69,False,109.6,2306.49192
71,False,10.5,31.4106
72,False,8.7,30.65608
73,False,13.5,3175.55305
74,False,22.3,5657.90265
75,False,32.8,111.66956
77,False,11.3,36.4083
78,False,108.3,2263.0848
80,False,35.1,1696.2533
81,False,25.0,59.5017
82,False,9.5,114.5702
83,False,51.8,974.59757
84,False,26.2,277.8561
85,False,19.7,42.417
86,False,26.7,256.81295
87,False,26.6,130.435
88,False,12.4,44.97085
89,False,33.2,160.03415
90,False,9.0,94.5632
91,False,10.7,28.0836
92,False,30.9,125.9736
93,False,21.3,81.94413
94,False,7.3,15.90909
95,False,18.9,31.3831
96,False,20.1,71.33095
98,False,10.5,1525.40948
100,False,7.1,31.94775
102,False,19.0,67.36205
103,False,18.6,76.77025
104,False,11.0,33.8701
105,False,29.6,129.27015
106,False,17.3,5310.7446
107,False,55.1,1436.48498
108,False,48.4,137.91832
109,False,8.0,32.2531
110,False,103.6,1979.26575
111,False,37.3,564.36485
112,False,12.2,24.2409
113,False,23.6,111.4158
114,False,16.3,32.212
115,False,29.4,96.3967
116,False,3.0,34.1491
117,False,32.2,78.95295
118,False,22.4,43.1922
119,False,66.5,778.37735
121,False,33.0,71.07155
122,False,41.6,780.5403
123,False,19.1,59.66088
124,False,17.2,74.9193
125,False,17.1,62.10594
128,False,11.0,33.50619
129,False,16.0,59.84716
130,False,110.1,1854.5173
131,False,25.6,101.96566
132,False,26.6,129.19515
133,False,35.3,316.5403
134,False,10.2,22.3525
135,False,9.0,33.7375
136,False,23.8,109.32815
137,False,21.4,78.84365
138,False,27.7,148.07417
139,False,14.4,35.4066
140,False,10.4,27.75094
141,False,36.8,306.2113
142,False,35.2,92.08657
143,False,28.6,141.2667
144,False,8.9,56.52991
145,False,40.7,314.66765
146,False,11.2,107.5479
147,False,35.0,198.69437
148,False,38.3,119.20925
149,False,32.1,85.785
150,False,34.5,314.12165
151,False,31.6,101.7629
152,False,26.5,154.6631
153,False,64.6,660.12225
154,False,34.5,63.10515
155,False,35.1,194.32735
156,False,26.6,161.3235
157,False,20.3,91.939
158,False,19.6,67.58438
159,False,14.7,197.00785
161,False,30.9,68.0807
162,False,53.6,2488.271
163,False,41.3,553.3476
164,False,65.9,1275.5337
165,False,38.6,304.37545
166,False,33.0,97.2431
167,False,40.3,579.5092
168,False,44.3,286.92825
169,False,27.2,232.3428
170,False,30.6,144.93625
171,False,50.8,7941.8726
172,False,3.0,640.4782
173,False,35.1,130.80913
174,False,23.6,188.1446
175,False,15.8,83.06785
176,False,27.1,64.5494
177,False,35.7,380.03445
178,False,28.5,4294.44635
179,False,29.2,117.07425
